Structured comment name	Value syntax	Example																										
gaseous_environment	{text};{float} {unit};{period};{interval};{period}																											
gaseous_environment	{text};{float} {unit};{Rn/start_time/end_time/duration}	nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
gaseous_substances	{text};{float} {unit}																											
gastrointest_disord	{text}																											
gender_restroom	[all gender|female|gender neurtral|male|male and female|unisex]	male																										
genetic_mod	{PMID}|{DOI}|{URL}	aox1A transgenic																										
genetic_mod	{PMID}|{DOI}|{URL}|{text}	aox1A transgenic																										
geo_loc_name	"{term}: {term}, {text}"	"USA: Maryland, Bethesda"																										
gestation_state	{text}																											
glucosidase_act	{float} {unit}	5 mol per liter per hour																										
gravidity	{boolean};{timestamp}	yes;due date:2018-05-11																										
gravidity	{boolean};{timestamp}																											
gravity	{float} {unit};{Rn/start_time/end_time/duration}	12 g;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
growth_facil	{text}|{termLabel} {[termID]}	Growth chamber [CO_715:0000189]																										
growth_habit	[erect|semi-erect|spreading|prostrate]	spreading																										
growth_hormone_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	abscisic acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
growth_medium	{text}	LB broth																										
gynecologic_disord	{text}																											
HACCP_term	{termLabel} {[termID]}	tetrodotoxic poisoning [FOODON:03530249]																										
hall_count	{integer}																											
handidness	[ambidexterity|left handedness|mixed-handedness|right handedness]	right handedness																										
hc_produced	[Oil|Gas-Condensate|Gas|Bitumen|Coalbed Methane|other]	Gas																										
hcr	[Oil Reservoir|Gas Reservoir|Oil Sand|Coalbed|Shale|Tight Oil Reservoir|Tight Gas Reservoir|other]	Oil Sand																										
hcr_fw_salinity	{float} {unit}																											
hcr_geol_age	[Archean|Cambrian|Carboniferous|Cenozoic|Cretaceous|Devonian|Jurassic|Mesozoic|Neogene|Ordovician|Paleogene|Paleozoic|Permian|Precambrian|Proterozoic|Silurian|Triassic|other]	Silurian																										
hcr_pressure	{float} - {float} {unit}																											
hcr_temp	{float} - {float} {unit}	150-295 degree Celsius																										
heat_cool_type	[radiant system|heat pump|forced air system|steam forced heat|wood stove]	heat pump																										
heat_deliv_loc	[north|south|east|west]	north																										
heat_sys_deliv_meth	[conductive|radiant]	radiant																										
heat_system_id	{integer}																											
heavy_metals	{text};{float} {unit}	mercury;0.09 micrograms per gram																										
heavy_metals_meth	{PMID}|{DOI}|{URL}																											
heavy_metals_meth	{PMID|DOI|URL}																											
height_carper_fiber	{float} {unit}																											
herbicide_regm	{text};{float} {unit};{period};{interval};{period}																											
herbicide_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	atrazine;10 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
horizon	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]																											
horizon_meth	{PMID}|{DOI}|{URL}																											
horizon_meth	{PMID|DOI|URL}																											
host_age	{float} {unit}	10 days																										
host_age	{float} {unit}	30 years																										
host_age	{float} {unit}																											
host_body_habitat	{text}	anterior end of a tapeworm																										
host_body_habitat	{text}	nasopharynx																										
host_body_mass_index	{float} {unit}	22 kilogram per square meter																										
host_body_product	{termLabel} {[termID]}	Portion of mucus [fma66938]																										
host_body_site	{termLabel} {[termID]}	Ectocervix [fma86484]																										
host_body_site	{termLabel} {[termID]}	Epithelium of tongue [fma284658]																										
host_body_site	{termLabel} {[termID]}	gill [UBERON:0002535]																										
host_body_site	{termLabel} {[termID]}	Lung parenchyma [fma27360]																										
host_body_site	{termLabel} {[termID]}	scolex [UBERON:0015119]																										
host_body_site	{termLabel} {[termID]}	Skin of palm of left hand [fma38303]																										
host_body_site	{termLabel} {[termID]}	Wall of gut [fma45653]																										
host_body_temp	{float} {unit}	15 degree Celsius																										
host_body_temp	{float} {unit}	36.5 degree Celsius																										
host_cellular_loc	[intracellular|extracellular|not determined]	extracellular																										
host_color	{text}																											
host_common_name	{text}	human																										
host_common_name	{text}	rice																										
host_common_name	{text}	trematode																										
host_common_name	{text}																											
host_dependence	[facultative|obligate]	obligate																										
host_diet	{text}	herbivore																										
host_diet	{text}	high-fat																										
host_disease_stat	{termLabel} {[termID]}	measles [DOID:8622]																										
host_disease_stat	{termLabel} {[termID]}|{text}	rabies [DOID:11260]																										
host_disease_stat	{text}|{termLabel} {[termID]}	downy mildew																										
host_dry_mass	{float} {unit}	500 gram																										
host_dry_mass	{float} {unit}																											
host_family_relation	{text};{text}	mother;ID298																										
host_family_relation	{text};{text}	offspring;Mussel25																										
host_family_relationship	{text};{text}	clone;P15																										
host_genotype	{text}	C57BL/6																										
host_genotype	{text}	ST1																										
