NMDC schema class	NMDC schema slot	NCBI postgres field name	static_value
Biosample	salinity_meth	salinity_meth	
Biosample	salt_regm	salt_regm	
Biosample	samp_capt_status	samp_capt_status	
Biosample	samp_collec_device		
Biosample	samp_collec_method		
Biosample	samp_collect_point	samp_collect_point	
Biosample	samp_dis_stage	samp_dis_stage	
Biosample	samp_floor		
Biosample	samp_loc_corr_rate		
Biosample	samp_mat_process	samp_mat_process	
Biosample	samp_md		
Biosample	samp_name	samp_name	
Biosample	samp_preserv		
Biosample	samp_room_id		
Biosample	samp_size	samp_size	
Biosample	samp_sort_meth	samp_sort_meth	
Biosample	samp_store_dur	samp_store_dur	
Biosample	samp_store_loc	samp_store_loc	
Biosample	samp_store_temp	samp_store_temp	
Biosample	samp_subtype	samp_subtype	
Biosample	samp_taxon_id		
Biosample	samp_time_out		
Biosample	samp_transport_cond		
Biosample	samp_tvdss		
Biosample	samp_type		
Biosample	samp_vol_we_dna_ext	samp_vol_we_dna_ext	
Biosample	samp_weather		
Biosample	samp_well_name		
Biosample	sample_collection_site		
Biosample	sample_link		
Biosample	sample_shipped		
Biosample	sample_type	sample_type	
Biosample	saturates_pc		
Biosample	season	season	
Biosample	season_environment	season_environment	
Biosample	season_precpt	season_precpt	
Biosample	season_temp	season_temp	
Biosample	season_use		
Biosample	secondary_treatment	secondary_treatment	
Biosample	sediment_type	sediment_type	
Biosample	seq_meth		
Biosample	seq_quality_check		
Biosample	sequencing field		
Biosample	sewage_type	sewage_type	
Biosample	shad_dev_water_mold		
Biosample	shading_device_cond		
Biosample	shading_device_loc		
Biosample	shading_device_mat		
Biosample	shading_device_type		
Biosample	sieving	sieving	
Biosample	silicate	silicate	
Biosample	size_frac	size_frac	
Biosample	size_frac_low	size_frac_low	
Biosample	size_frac_up	size_frac_up	
Biosample	slope_aspect	slope_aspect	
Biosample	slope_gradient	slope_gradient	
Biosample	sludge_retent_time	sludge_retent_time	
Biosample	sodium	sodium	
Biosample	soil_horizon	soil_horizon	
Biosample	soil_text_measure	soil_text_measure	
Biosample	soil_texture_meth	soil_texture_meth	
Biosample	soil_type	soil_type	
Biosample	soil_type_meth	soil_type_meth	
Biosample	solar_irradiance	solar_irradiance	
Biosample	soluble_inorg_mat	soluble_inorg_mat	
Biosample	soluble_iron_micromol		
Biosample	soluble_org_mat	soluble_org_mat	
Biosample	soluble_react_phosp	soluble_react_phosp	
Biosample	source_mat_id		
Biosample	space_typ_state	space_typ_state	
Biosample	specific	specific	
Biosample	specific_ecosystem		
Biosample	specific_humidity		
Biosample	sr_dep_env		
Biosample	sr_geol_age		
Biosample	sr_kerog_type		
Biosample	sr_lithology		
Biosample	standing_water_regm	standing_water_regm	
Biosample	start_date_inc		
Biosample	start_time_inc		
Biosample	store_cond	store_cond	
Biosample	substructure_type	substructure_type	
Biosample	subsurface_depth		
Biosample	sulfate	sulfate	
Biosample	sulfate_fw	sulfate_fw	
Biosample	sulfide	sulfide	
Biosample	surf_air_cont	surf_air_cont	
Biosample	surf_humidity	surf_humidity	
Biosample	surf_material	surf_material	
Biosample	surf_moisture	surf_moisture	
Biosample	surf_moisture_ph	surf_moisture_ph	
Biosample	surf_temp	surf_temp	
Biosample	suspend_part_matter	suspend_part_matter	
Biosample	suspend_solids	suspend_solids	
Biosample	tan	tan	
Biosample	target_gene		
Biosample	target_subfragment		
Biosample	technical_reps		
Biosample	temp	temp	
Biosample	temp_out		
Biosample	tertiary_treatment	tertiary_treatment	
Biosample	tidal_stage	tidal_stage	
Biosample	tillage	tillage	
Biosample	tiss_cult_growth_med	tiss_cult_growth_med	
Biosample	toluene	toluene	
Biosample	tot_carb	tot_carb	
Biosample	tot_depth_water_col	tot_depth_water_col	
Biosample	tot_diss_nitro	tot_diss_nitro	
Biosample	tot_inorg_nitro	tot_inorg_nitro	
Biosample	tot_iron	tot_iron	
Biosample	tot_nitro	tot_nitro	
Biosample	tot_nitro_cont_meth	tot_nitro_cont_meth	
Biosample	tot_nitro_content		
Biosample	tot_org_c_meth	tot_org_c_meth	
Biosample	tot_org_carb	tot_org_carb	
Biosample	tot_part_carb	tot_part_carb	
Biosample	tot_phosp	tot_phosp	
Biosample	tot_phosphate	tot_phosphate	
Biosample	tot_sulfur	tot_sulfur	
Biosample	train_line	train_line	
Biosample	train_stat_loc		
Biosample	train_stop_loc		
Biosample	turbidity	turbidity	
Biosample	tvdss_of_hcr_press		
Biosample	tvdss_of_hcr_temp		
Biosample	typ_occup_density		
Biosample	type		
Biosample	ventilation_rate	ventilation_rate	
Biosample	ventilation_type	ventilation_type	
Biosample	vfa	vfa	
Biosample	vfa_fw	vfa_fw	
Biosample	vis_media		
Biosample	viscosity	viscosity	
Biosample	volatile_org_comp	volatile_org_comp	
Biosample	wall_area		
Biosample	wall_const_type		
Biosample	wall_finish_mat		
Biosample	wall_height		
Biosample	wall_loc		
Biosample	wall_surf_treatment		
Biosample	wall_texture		
Biosample	wall_thermal_mass		
Biosample	wall_water_mold		
Biosample	wastewater_type	wastewater_type	
Biosample	water_cont_soil_meth		
Biosample	water_content	water_content	
Biosample	water_current	water_current	
Biosample	water_cut	water_cut	
Biosample	water_feat_size		
Biosample	water_feat_type		
Biosample	water_prod_rate		
Biosample	water_temp_regm	water_temp_regm	
Biosample	watering_regm	watering_regm	
Biosample	weekday	weekday	
Biosample	win	win	
Biosample	wind_direction	wind_direction	
Biosample	wind_speed	wind_speed	
Biosample	window_cond		
Biosample	window_cover		
Biosample	window_horiz_pos		
Biosample	window_loc		
Biosample	window_mat		
Biosample	window_open_freq	window_open_freq	
Biosample	window_size		
Biosample	window_status		
Biosample	window_type		
Biosample	window_vert_pos		
Biosample	window_water_mold		
Biosample	xylene	xylene	
Biosample	zinc		
OmicsProcessing	add_date		
OmicsProcessing	alternative_identifiers		
OmicsProcessing	chimera_check		
OmicsProcessing	description	description	
OmicsProcessing	designated_class		
OmicsProcessing	end_date		
OmicsProcessing	gold_sequencing_project_identifiers		
OmicsProcessing	has_failure_categorization		
OmicsProcessing	has_input		
OmicsProcessing	has_output		
OmicsProcessing	id		
OmicsProcessing	insdc_bioproject_identifiers		
OmicsProcessing	insdc_experiment_identifiers		
OmicsProcessing	instrument_name		
OmicsProcessing	mod_date		
OmicsProcessing	name		
OmicsProcessing	ncbi_project_name		
OmicsProcessing	nucl_acid_amp		
OmicsProcessing	nucl_acid_ext		
OmicsProcessing	omics_type		
OmicsProcessing	part_of		
OmicsProcessing	pcr_cond		
OmicsProcessing	pcr_primers		
OmicsProcessing	principal_investigator		
OmicsProcessing	processing_institution		
OmicsProcessing	protocol_link		
OmicsProcessing	qc_comment		
OmicsProcessing	qc_status		
OmicsProcessing	samp_vol_we_dna_ext	samp_vol_we_dna_ext	
OmicsProcessing	seq_meth		
OmicsProcessing	seq_quality_check		
OmicsProcessing	start_date		
OmicsProcessing	target_gene		
OmicsProcessing	target_subfragment		
OmicsProcessing	type		
