element_name	element_type	readonly_metaslot	metaslot_value	schema_file
light_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
light_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
link_addit_analys	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
link_class_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
link_climate_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
lithology	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
local_class	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
local_class_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
magnesium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
max_occup	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mean_frict_vel	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mean_peak_frict_vel	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mech_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mechanical_damage	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
methane	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
micro_biomass_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
microbial_biomass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mineral_nutr_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
misc_param	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
n_alkanes	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nitrate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nitrite	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
non_min_nutr_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nucl_acid_amp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nucl_acid_ext	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
number_pets	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
number_plants	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
number_resident	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
occup_density_samp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
occup_document	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
occup_samp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_carb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_count_qpcr_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_matter	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_particles	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
organism_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
owc_tvdss	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
oxy_stat_samp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
oxygen	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
part_org_carb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
part_org_nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
particle_class	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pcr_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pcr_primers	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
permeability	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
perturbation	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pesticide_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
petroleum_hydrocarb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ph	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ph_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ph_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
phaeopigments	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
phosphate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
phosplipid_fatt_acid	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
photon_flux	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_growth_med	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_product	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_sex	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pollutants	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pool_dna_extracts	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
porosity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
potassium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pour_point	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pre_treatment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pres_animal_insect	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pressure	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
prev_land_use_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
previous_land_use	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
primary_prod	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
primary_treatment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
prod_rate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
prod_start_date	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
profile_position	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
quad_pos	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
radiation_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
rainfall_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
reactor_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
redox_potential	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
rel_air_humidity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
rel_humidity_out	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
rel_samp_loc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
reservoir	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
resins_pc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_air_exch_rate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_architec_elem	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_condt	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_connected	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_dim	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_door_dist	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_door_share	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_hallway	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_loc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_moist_dam_hist	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_net_area	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_occup	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_samp_pos	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_vol	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_wall_share	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
room_window_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_carbon	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_macronutr	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_micronutr	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_ph	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_regl	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_solid	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
root_med_suppl	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
salinity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
salinity_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
salt_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_capt_status	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_collec_device	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_collec_method	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_collect_point	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_dis_stage	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_floor	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_loc_corr_rate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_mat_process	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_md	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_name	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_preserv	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_room_id	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_size	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_sort_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_store_dur	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_store_loc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_store_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_subtype	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
samp_taxon_id	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
