name	type	is_a	abstract	from_schema
string_serialization	SlotDefinition			https://w3id.org/linkml/meta
structured_alias	ClassDefinition			https://w3id.org/linkml/meta
structured_aliases	SlotDefinition			https://w3id.org/linkml/meta
structured_imports	SlotDefinition			https://w3id.org/linkml/meta
structured_pattern	SlotDefinition			https://w3id.org/linkml/meta
subclass_of	SlotDefinition			https://w3id.org/linkml/meta
subject	SlotDefinition			https://w3id.org/linkml/reporting
subproperty_of	SlotDefinition			https://w3id.org/linkml/meta
subset_definition	ClassDefinition	element		https://w3id.org/linkml/meta
subsets	SlotDefinition			https://w3id.org/linkml/meta
symbol	SlotDefinition			https://w3id.org/linkml/units
symmetric	SlotDefinition	relational_logical_characteristic		https://w3id.org/linkml/meta
syntax	SlotDefinition			https://w3id.org/linkml/meta
test_roles	SlotDefinition			https://w3id.org/linkml/datasets
text	SlotDefinition			https://w3id.org/linkml/meta
themes	SlotDefinition			https://w3id.org/linkml/datasets
time	TypeDefinition			https://w3id.org/linkml/types
title	SlotDefinition			https://w3id.org/linkml/datasets
todos	SlotDefinition			https://w3id.org/linkml/meta
transitive	SlotDefinition	relational_logical_characteristic		https://w3id.org/linkml/meta
transitive_form_of	SlotDefinition			https://w3id.org/linkml/meta
traverse	SlotDefinition			https://w3id.org/linkml/meta
traverse_up	SlotDefinition			https://w3id.org/linkml/meta
tree_root	SlotDefinition			https://w3id.org/linkml/meta
type	SlotDefinition			https://w3id.org/linkml/reporting
type_definition	ClassDefinition	element		https://w3id.org/linkml/meta
type_expression	ClassDefinition	expression		https://w3id.org/linkml/meta
type_mapping	ClassDefinition			https://w3id.org/linkml/meta
type_mappings	SlotDefinition			https://w3id.org/linkml/meta
type_uri	SlotDefinition			https://w3id.org/linkml/meta
typeof	SlotDefinition			https://w3id.org/linkml/meta
types	SlotDefinition			https://w3id.org/linkml/meta
ucum_code	SlotDefinition			https://w3id.org/linkml/units
uint16	TypeDefinition			https://w3id.org/linkml/extended_types
