filename	key	count	classification
nmdc_materialized_patterns.yaml	RAD	1	application
nmdc_materialized_patterns.yaml	RFAM Annotation GFF	1	application
nmdc_materialized_patterns.yaml	RHEA	1	application
nmdc_materialized_patterns.yaml	RNA	2	application
nmdc_materialized_patterns.yaml	RO	1	application
nmdc_materialized_patterns.yaml	RT	1	application
nmdc_materialized_patterns.yaml	Rankers	1	application
nmdc_materialized_patterns.yaml	Read Based Analysis Info File	1	application
nmdc_materialized_patterns.yaml	Read Count and RPKM	1	application
nmdc_materialized_patterns.yaml	Read Filtering Info File	1	application
nmdc_materialized_patterns.yaml	ReadBasedTaxonomyAnalysis	2	application
nmdc_materialized_patterns.yaml	ReadQcAnalysis	2	application
nmdc_materialized_patterns.yaml	Reference Calibration File	1	application
nmdc_materialized_patterns.yaml	Regosols	1	application
nmdc_materialized_patterns.yaml	Released	1	application
nmdc_materialized_patterns.yaml	Rendzinas	1	application
nmdc_materialized_patterns.yaml	ResolutionCategoryEnum	1	application
nmdc_materialized_patterns.yaml	Resources	1	application
nmdc_materialized_patterns.yaml	ResubmittedPendingReview	1	application
nmdc_materialized_patterns.yaml	RetroRules	1	application
nmdc_materialized_patterns.yaml	SAX	1	application
nmdc_materialized_patterns.yaml	SCX	1	application
nmdc_materialized_patterns.yaml	SEED	1	application
nmdc_materialized_patterns.yaml	SFA	1	application
nmdc_materialized_patterns.yaml	SIO	1	application
nmdc_materialized_patterns.yaml	SIP	1	application
nmdc_materialized_patterns.yaml	SMART Annotation GFF	1	application
nmdc_materialized_patterns.yaml	SO	1	application
nmdc_materialized_patterns.yaml	SUPERFam Annotation GFF	1	application
nmdc_materialized_patterns.yaml	SUPFAM	1	application
nmdc_materialized_patterns.yaml	Sample	1	application
nmdc_materialized_patterns.yaml	SamplePortionEnum	1	application
nmdc_materialized_patterns.yaml	SampleStateEnum	1	application
nmdc_materialized_patterns.yaml	SampleTypeEnum	1	application
nmdc_materialized_patterns.yaml	Sandstone	1	application
nmdc_materialized_patterns.yaml	Santa-Fe texture	2	application
nmdc_materialized_patterns.yaml	Saturday	1	application
nmdc_materialized_patterns.yaml	Scaffold Lineage tsv	1	application
nmdc_materialized_patterns.yaml	SeparationMethodEnum	1	application
nmdc_materialized_patterns.yaml	Shale	2	application
nmdc_materialized_patterns.yaml	Silica	1	application
nmdc_materialized_patterns.yaml	Siltstone	1	application
nmdc_materialized_patterns.yaml	Silurian	2	application
nmdc_materialized_patterns.yaml	Site	1	application
nmdc_materialized_patterns.yaml	Software	1	application
