name	type	is_a	abstract
unique_keys	SlotDefinition		
unit	SlotDefinition		
unsignedinteger	TypeDefinition		
uri	TypeDefinition		
uriorcurie	TypeDefinition		
usage_slot_name	SlotDefinition		
value	SlotDefinition		
value_description	SlotDefinition		
value_object	SlotDefinition		
value_presence	SlotDefinition	list_value_specification_constant	
value_specification_constant	SlotDefinition		True
values_from	SlotDefinition		
version	SlotDefinition		
was_derived_from	SlotDefinition		
