enumeration name	permissible value name	PV meaning
samp_dis_stage_enum	dissemination	
samp_dis_stage_enum	growth and reproduction	
samp_dis_stage_enum	infection	
samp_dis_stage_enum	inoculation	
samp_dis_stage_enum	penetration	
samp_dis_stage_enum	other	
samp_floor_enum		
samp_floor_enum	1st floor	
samp_floor_enum	2nd floor	
samp_floor_enum	basement	
samp_floor_enum	lobby	
samp_md_enum		
samp_md_enum	DF	
samp_md_enum	RT	
samp_md_enum	KB	
samp_md_enum	MSL	
samp_md_enum	other	
samp_subtype_enum		
samp_subtype_enum	oil phase	
samp_subtype_enum	water phase	
samp_subtype_enum	biofilm	
samp_subtype_enum	not applicable	
samp_subtype_enum	other	
samp_weather_enum		
samp_weather_enum	clear sky	
samp_weather_enum	cloudy	
samp_weather_enum	foggy	
samp_weather_enum	hail	
samp_weather_enum	rain	
samp_weather_enum	snow	
samp_weather_enum	sleet	
samp_weather_enum	sunny	
samp_weather_enum	windy	
season_use_enum		
season_use_enum	Spring	
season_use_enum	Summer	
season_use_enum	Fall	
season_use_enum	Winter	
sediment_type_enum		
sediment_type_enum	biogenous	
sediment_type_enum	cosmogenous	
sediment_type_enum	hydrogenous	
sediment_type_enum	lithogenous	
shading_device_cond_enum		
shading_device_cond_enum	damaged	
shading_device_cond_enum	needs repair	
shading_device_cond_enum	new	
shading_device_cond_enum	rupture	
shading_device_cond_enum	visible wear	
shading_device_type_enum		
shading_device_type_enum	bahama shutters	
shading_device_type_enum	exterior roll blind	
shading_device_type_enum	gambrel awning	
shading_device_type_enum	hood awning	
shading_device_type_enum	porchroller awning	
shading_device_type_enum	sarasota shutters	
shading_device_type_enum	slatted aluminum	
shading_device_type_enum	solid aluminum awning	
shading_device_type_enum	sun screen	
shading_device_type_enum	tree	
shading_device_type_enum	trellis	
shading_device_type_enum	venetian awning	
soil_horizon_enum		
soil_horizon_enum	O horizon	
soil_horizon_enum	A horizon	
soil_horizon_enum	E horizon	
soil_horizon_enum	B horizon	
soil_horizon_enum	C horizon	
soil_horizon_enum	R layer	
soil_horizon_enum	Permafrost	
soil_horizon_enum	M horizon	
specific_enum		
specific_enum	operation	
specific_enum	as built	
specific_enum	construction	
specific_enum	bid	
specific_enum	design	
specific_enum	photos	
sr_dep_env_enum		
sr_dep_env_enum	Lacustine	
sr_dep_env_enum	Fluvioldeltaic	
sr_dep_env_enum	Fluviomarine	
sr_dep_env_enum	Marine	
sr_dep_env_enum	other	
sr_geol_age_enum		
sr_geol_age_enum	Archean	
sr_geol_age_enum	Cambrian	
sr_geol_age_enum	Carboniferous	
sr_geol_age_enum	Cenozoic	
sr_geol_age_enum	Cretaceous	
sr_geol_age_enum	Devonian	
sr_geol_age_enum	Jurassic	
sr_geol_age_enum	Mesozoic	
sr_geol_age_enum	Neogene	
sr_geol_age_enum	Ordovician	
sr_geol_age_enum	Paleogene	
sr_geol_age_enum	Paleozoic	
sr_geol_age_enum	Permian	
sr_geol_age_enum	Precambrian	
sr_geol_age_enum	Proterozoic	
sr_geol_age_enum	Silurian	
sr_geol_age_enum	Triassic	
sr_geol_age_enum	other	
sr_kerog_type_enum		
sr_kerog_type_enum	Type I	
sr_kerog_type_enum	Type II	
sr_kerog_type_enum	Type III	
sr_kerog_type_enum	Type IV	
sr_kerog_type_enum	other	
sr_lithology_enum		
sr_lithology_enum	Clastic	
sr_lithology_enum	Carbonate	
sr_lithology_enum	Coal	
sr_lithology_enum	Biosilicieous	
sr_lithology_enum	other	
substructure_type_enum		
substructure_type_enum	crawlspace	
substructure_type_enum	slab on grade	
substructure_type_enum	basement	
surf_air_cont_enum		
surf_air_cont_enum	dust	
surf_air_cont_enum	organic matter	
surf_air_cont_enum	particulate matter	
surf_air_cont_enum	volatile organic compounds	
surf_air_cont_enum	biological contaminants	
surf_air_cont_enum	radon	
surf_air_cont_enum	nutrients	
surf_air_cont_enum	biocides	
surf_material_enum		
surf_material_enum	adobe	
surf_material_enum	carpet	
surf_material_enum	cinder blocks	
surf_material_enum	concrete	
surf_material_enum	hay bales	
surf_material_enum	glass	
surf_material_enum	metal	
surf_material_enum	paint	
surf_material_enum	plastic	
surf_material_enum	stainless steel	
surf_material_enum	stone	
surf_material_enum	stucco	
surf_material_enum	tile	
surf_material_enum	vinyl	
surf_material_enum	wood	
tidal_stage_enum		
tidal_stage_enum	low tide	
tidal_stage_enum	ebb tide	
tidal_stage_enum	flood tide	
tidal_stage_enum	high tide	
tillage_enum		
tillage_enum	drill	
tillage_enum	cutting disc	
tillage_enum	ridge till	
tillage_enum	strip tillage	
tillage_enum	zonal tillage	
tillage_enum	chisel	
tillage_enum	tined	
tillage_enum	mouldboard	
tillage_enum	disc plough	
train_line_enum		
train_line_enum	red	
train_line_enum	green	
train_line_enum	orange	
train_stat_loc_enum		
train_stat_loc_enum	south station above ground	
train_stat_loc_enum	south station underground	
train_stat_loc_enum	south station amtrak	
train_stat_loc_enum	forest hills	
train_stat_loc_enum	riverside	
train_stop_loc_enum		
train_stop_loc_enum	end	
train_stop_loc_enum	mid	
train_stop_loc_enum	downtown	
vis_media_enum		
vis_media_enum	photos	
vis_media_enum	videos	
vis_media_enum	commonly of the building	
vis_media_enum	site context (adjacent buildings, vegetation, terrain, streets)	
vis_media_enum	interiors	
vis_media_enum	equipment	
vis_media_enum	3D scans	
wall_const_type_enum		
wall_const_type_enum	frame construction	
wall_const_type_enum	joisted masonry	
wall_const_type_enum	light noncombustible	
wall_const_type_enum	masonry noncombustible	
wall_const_type_enum	modified fire resistive	
wall_const_type_enum	fire resistive	
wall_finish_mat_enum		
wall_finish_mat_enum	plaster	
wall_finish_mat_enum	gypsum plaster	
wall_finish_mat_enum	veneer plaster	
wall_finish_mat_enum	gypsum board	
wall_finish_mat_enum	tile	
wall_finish_mat_enum	terrazzo	
wall_finish_mat_enum	stone facing	
wall_finish_mat_enum	acoustical treatment	
wall_finish_mat_enum	wood	
wall_finish_mat_enum	metal	
wall_finish_mat_enum	masonry	
wall_loc_enum		
wall_loc_enum	north	
wall_loc_enum	south	
wall_loc_enum	east	
wall_loc_enum	west	
wall_surf_treatment_enum		
wall_surf_treatment_enum	painted	
wall_surf_treatment_enum	wall paper	
wall_surf_treatment_enum	no treatment	
